id,source,video,barcode,strip_path
gt_25_12-20_0000,gt_video,25_12-20,4670025474665,strips/gt_25_12-20_0000.png
gt_25_12-20_0001,gt_video,25_12-20,4670025474658,strips/gt_25_12-20_0001.png
gt_25_12-20_0002,gt_video,25_12-20,4680140271438,strips/gt_25_12-20_0002.png
gt_25_12-20_0003,gt_video,25_12-20,4680140271469,strips/gt_25_12-20_0003.png
gt_25_12-20_0004,gt_video,25_12-20,4630027300508,strips/gt_25_12-20_0004.png
gt_25_12-20_0005,gt_video,25_12-20,4062073002325,strips/gt_25_12-20_0005.png
gt_25_12-20_0006,gt_video,25_12-20,4062073002301,strips/gt_25_12-20_0006.png
gt_25_12-20_0008,gt_video,25_12-20,4009427051042,strips/gt_25_12-20_0008.png
gt_25_12-20_0009,gt_video,25_12-20,3760251404725,strips/gt_25_12-20_0009.png
gt_25_12-20_0010,gt_video,25_12-20,4003301082771,strips/gt_25_12-20_0010.png
gt_25_12-20_0011,gt_video,25_12-20,4660115480232,strips/gt_25_12-20_0011.png
gt_25_12-20_0012,gt_video,25_12-20,4014741125829,strips/gt_25_12-20_0012.png
gt_25_12-20_0013,gt_video,25_12-20,4009427021045,strips/gt_25_12-20_0013.png
gt_25_12-20_0014,gt_video,25_12-20,3760251404732,strips/gt_25_12-20_0014.png
gt_25_12-20_0015,gt_video,25_12-20,4062073014465,strips/gt_25_12-20_0015.png
gt_25_12-20_0016,gt_video,25_12-20,3500610174926,strips/gt_25_12-20_0016.png
gt_25_12-20_0018,gt_video,25_12-20,3437540054090,strips/gt_25_12-20_0018.png
gt_25_12-20_0019,gt_video,25_12-20,4973480846450,strips/gt_25_12-20_0019.png
gt_25_12-20_0020,gt_video,25_12-20,4973480846443,strips/gt_25_12-20_0020.png
gt_25_12-20_0021,gt_video,25_12-20,3179077542571,strips/gt_25_12-20_0021.png
gt_25_12-20_0022,gt_video,25_12-20,8032793973478,strips/gt_25_12-20_0022.png
gt_25_12-20_0023,gt_video,25_12-20,4049366005089,strips/gt_25_12-20_0023.png
gt_25_12-20_0024,gt_video,25_12-20,3263286350611,strips/gt_25_12-20_0024.png
gt_25_12-20_0025,gt_video,25_12-20,3263280105262,strips/gt_25_12-20_0025.png
gt_25_12-20_0026,gt_video,25_12-20,3263286350598,strips/gt_25_12-20_0026.png
gt_25_12-20_0027,gt_video,25_12-20,4610094289494,strips/gt_25_12-20_0027.png
gt_25_12-20_0028,gt_video,25_12-20,4670086804241,strips/gt_25_12-20_0028.png
gt_25_12-20_0030,gt_video,25_12-20,8410113555472,strips/gt_25_12-20_0030.png
gt_25_12-20_0031,gt_video,25_12-20,8410113011701,strips/gt_25_12-20_0031.png
gt_25_12-20_0032,gt_video,25_12-20,4860006042611,strips/gt_25_12-20_0032.png
gt_25_12-20_0033,gt_video,25_12-20,8007890164029,strips/gt_25_12-20_0033.png
gt_25_12-20_0034,gt_video,25_12-20,7804315304852,strips/gt_25_12-20_0034.png
gt_25_12-20_0035,gt_video,25_12-20,4690491111321,strips/gt_25_12-20_0035.png
gt_25_12-20_0036,gt_video,25_12-20,4620002056995,strips/gt_25_12-20_0036.png
gt_25_12-20_0037,gt_video,25_12-20,4062073029278,strips/gt_25_12-20_0037.png
gt_25_12-20_0038,gt_video,25_12-20,4062073029292,strips/gt_25_12-20_0038.png
gt_25_12-20_0039,gt_video,25_12-20,4607955241043,strips/gt_25_12-20_0039.png
gt_25_12-20_0040,gt_video,25_12-20,4607955241067,strips/gt_25_12-20_0040.png
gt_25_12-20_0041,gt_video,25_12-20,780462305663,strips/gt_25_12-20_0041.png
gt_25_12-20_0042,gt_video,25_12-20,7804636058656,strips/gt_25_12-20_0042.png
gt_25_12-20_0043,gt_video,25_12-20,4607093549414,strips/gt_25_12-20_0043.png
gt_25_12-20_0044,gt_video,25_12-20,4620002056971,strips/gt_25_12-20_0044.png
gt_25_12-20_0045,gt_video,25_12-20,4660304060047,strips/gt_25_12-20_0045.png
gt_25_12-20_0046,gt_video,25_12-20,4607093549438,strips/gt_25_12-20_0046.png
gt_25_12-20_0047,gt_video,25_12-20,4660304060795,strips/gt_25_12-20_0047.png
gt_25_12-20_0048,gt_video,25_12-20,4660304060085,strips/gt_25_12-20_0048.png
gt_25_12-20_0049,gt_video,25_12-20,4607002224159,strips/gt_25_12-20_0049.png
gt_25_12-20_0050,gt_video,25_12-20,4606088590578,strips/gt_25_12-20_0050.png
gt_25_12-20_0051,gt_video,25_12-20,4606068506568,strips/gt_25_12-20_0051.png
gt_25_12-20_0052,gt_video,25_12-20,4607002225668,strips/gt_25_12-20_0052.png
gt_26_12-20_0000,gt_video,26_12-20,3500610117022,strips/gt_26_12-20_0000.png
gt_26_12-20_0001,gt_video,26_12-20,4690491122587,strips/gt_26_12-20_0001.png
gt_26_12-20_0002,gt_video,26_12-20,3552848940002,strips/gt_26_12-20_0002.png
gt_26_12-20_0003,gt_video,26_12-20,3296311111000,strips/gt_26_12-20_0003.png
gt_26_12-20_0004,gt_video,26_12-20,3363040800885,strips/gt_26_12-20_0004.png
gt_26_12-20_0005,gt_video,26_12-20,3437540053123,strips/gt_26_12-20_0005.png
gt_26_12-20_0006,gt_video,26_12-20,3437540053130,strips/gt_26_12-20_0006.png
gt_26_12-20_0007,gt_video,26_12-20,4690491106778,strips/gt_26_12-20_0007.png
gt_26_12-20_0008,gt_video,26_12-20,3500610089701,strips/gt_26_12-20_0008.png
gt_26_12-20_0009,gt_video,26_12-20,4690491121887,strips/gt_26_12-20_0009.png
gt_26_12-20_0010,gt_video,26_12-20,3298660031398,strips/gt_26_12-20_0010.png
gt_26_12-20_0011,gt_video,26_12-20,3770001048277,strips/gt_26_12-20_0011.png
gt_26_12-20_0012,gt_video,26_12-20,4690491106877,strips/gt_26_12-20_0012.png
gt_26_12-20_0013,gt_video,26_12-20,3661710013000,strips/gt_26_12-20_0013.png
gt_26_12-20_0014,gt_video,26_12-20,3437540053727,strips/gt_26_12-20_0014.png
gt_26_12-20_0015,gt_video,26_12-20,3578850175171,strips/gt_26_12-20_0015.png
gt_26_12-20_0016,gt_video,26_12-20,3700619352664,strips/gt_26_12-20_0016.png
gt_26_12-20_0017,gt_video,26_12-20,3259354509500,strips/gt_26_12-20_0017.png
gt_26_12-20_0018,gt_video,26_12-20,3500610042638,strips/gt_26_12-20_0018.png
gt_26_12-20_0019,gt_video,26_12-20,3363040800137,strips/gt_26_12-20_0019.png
gt_26_12-20_0020,gt_video,26_12-20,3256030010244,strips/gt_26_12-20_0020.png
gt_26_12-20_0021,gt_video,26_12-20,3760040420295,strips/gt_26_12-20_0021.png
gt_26_12-20_0022,gt_video,26_12-20,4690491103135,strips/gt_26_12-20_0022.png
gt_26_12-20_0023,gt_video,26_12-20,8003971003393,strips/gt_26_12-20_0023.png
gt_26_12-20_0024,gt_video,26_12-20,3263280122351,strips/gt_26_12-20_0024.png
gt_26_12-20_0025,gt_video,26_12-20,8002153227824,strips/gt_26_12-20_0025.png
gt_26_12-20_0026,gt_video,26_12-20,8011047030600,strips/gt_26_12-20_0026.png
gt_26_12-20_0027,gt_video,26_12-20,8003969315750,strips/gt_26_12-20_0027.png
gt_26_12-20_0028,gt_video,26_12-20,4690491103616,strips/gt_26_12-20_0028.png
gt_26_12-20_0029,gt_video,26_12-20,8051070512049,strips/gt_26_12-20_0029.png
gt_26_12-20_0030,gt_video,26_12-20,8006600103006,strips/gt_26_12-20_0030.png
gt_26_12-20_0031,gt_video,26_12-20,8051070512049,strips/gt_26_12-20_0031.png
gt_26_12-20_0032,gt_video,26_12-20,8008863058710,strips/gt_26_12-20_0032.png
gt_26_12-20_0033,gt_video,26_12-20,8002793019124,strips/gt_26_12-20_0033.png
gt_26_12-20_0034,gt_video,26_12-20,8009620803314,strips/gt_26_12-20_0034.png
gt_26_12-20_0035,gt_video,26_12-20,4690491103463,strips/gt_26_12-20_0035.png
gt_26_12-20_0036,gt_video,26_12-20,8002153215920,strips/gt_26_12-20_0036.png
gt_26_12-20_0037,gt_video,26_12-20,8002153230602,strips/gt_26_12-20_0037.png
gt_26_12-20_0038,gt_video,26_12-20,8009307012503,strips/gt_26_12-20_0038.png
gt_26_12-20_0039,gt_video,26_12-20,8003971003386,strips/gt_26_12-20_0039.png
gt_26_12-20_0040,gt_video,26_12-20,8027625004642,strips/gt_26_12-20_0040.png
