video,frame_idx,split,n_red,n_yellow
Данные/25_12-20/25_12-20.mp4,0,train,9,6
Данные/25_12-20/25_12-20.mp4,15,train,10,6
Данные/25_12-20/25_12-20.mp4,20,train,12,6
Данные/25_12-20/25_12-20.mp4,25,val,12,6
Данные/25_12-20/25_12-20.mp4,30,train,11,8
Данные/25_12-20/25_12-20.mp4,35,train,12,8
Данные/25_12-20/25_12-20.mp4,40,train,13,7
Данные/25_12-20/25_12-20.mp4,45,train,13,7
Данные/25_12-20/25_12-20.mp4,50,train,13,9
Данные/25_12-20/25_12-20.mp4,55,train,12,8
Данные/25_12-20/25_12-20.mp4,60,val,13,9
Данные/25_12-20/25_12-20.mp4,65,val,11,9
Данные/25_12-20/25_12-20.mp4,70,train,12,10
Данные/25_12-20/25_12-20.mp4,75,train,10,11
Данные/25_12-20/25_12-20.mp4,80,train,11,13
Данные/25_12-20/25_12-20.mp4,85,train,12,11
Данные/25_12-20/25_12-20.mp4,90,train,11,11
Данные/25_12-20/25_12-20.mp4,95,train,12,12
Данные/25_12-20/25_12-20.mp4,100,train,12,11
Данные/25_12-20/25_12-20.mp4,105,train,9,6
Данные/25_12-20/25_12-20.mp4,110,train,12,6
Данные/25_12-20/25_12-20.mp4,115,train,10,7
Данные/25_12-20/25_12-20.mp4,120,train,8,4
Данные/25_12-20/25_12-20.mp4,125,train,8,5
Данные/25_12-20/25_12-20.mp4,130,train,8,6
Данные/25_12-20/25_12-20.mp4,135,val,8,4
Данные/25_12-20/25_12-20.mp4,140,train,10,4
Данные/25_12-20/25_12-20.mp4,145,train,10,4
Данные/25_12-20/25_12-20.mp4,150,val,11,6
Данные/25_12-20/25_12-20.mp4,155,train,12,6
Данные/25_12-20/25_12-20.mp4,160,val,9,8
Данные/25_12-20/25_12-20.mp4,165,train,12,5
Данные/25_12-20/25_12-20.mp4,170,train,11,5
Данные/25_12-20/25_12-20.mp4,175,train,11,5
Данные/25_12-20/25_12-20.mp4,180,train,11,6
Данные/25_12-20/25_12-20.mp4,185,train,11,6
Данные/25_12-20/25_12-20.mp4,190,train,13,6
Данные/25_12-20/25_12-20.mp4,195,train,15,6
Данные/25_12-20/25_12-20.mp4,200,train,12,7
Данные/25_12-20/25_12-20.mp4,205,train,11,6
Данные/25_12-20/25_12-20.mp4,210,train,11,7
Данные/25_12-20/25_12-20.mp4,215,train,10,7
Данные/25_12-20/25_12-20.mp4,220,train,6,6
Данные/25_12-20/25_12-20.mp4,225,train,8,4
Данные/25_12-20/25_12-20.mp4,230,train,7,4
